LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AVWAGE,TOT,USD,A,2015,54773.99376,,,,,,,,,,,,,,,,,,,,,,,,,,PRT,SVK,ESP,SWE
AUS,AVWAGE,TOT,USD,A,2016,54799.8626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AVWAGE,TOT,USD,A,2017,54327.04477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AVWAGE,TOT,USD,A,2018,54147.4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AVWAGE,TOT,USD,A,2019,54401.4253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,AVWAGE,TOT,USD,A,2015,53052.21668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,AVWAGE,TOT,USD,A,2016,53589.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,AVWAGE,TOT,USD,A,2017,53436.61223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,AVWAGE,TOT,USD,A,2018,53560.92351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,AVWAGE,TOT,USD,A,2019,53902.94904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,AVWAGE,TOT,USD,A,2015,54737.03878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,AVWAGE,TOT,USD,A,2016,54883.6518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,AVWAGE,TOT,USD,A,2017,54626.06533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,AVWAGE,TOT,USD,A,2018,55065.81147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,AVWAGE,TOT,USD,A,2019,55590.13046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,AVWAGE,TOT,USD,A,2015,52693.64729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,AVWAGE,TOT,USD,A,2016,51562.73934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,AVWAGE,TOT,USD,A,2017,52219.39272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,AVWAGE,TOT,USD,A,2018,52831.4837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,AVWAGE,TOT,USD,A,2019,53198.17296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,AVWAGE,TOT,USD,A,2015,24969.52644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,AVWAGE,TOT,USD,A,2016,25819.17199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,AVWAGE,TOT,USD,A,2017,26888.62221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,AVWAGE,TOT,USD,A,2018,28360.36471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,AVWAGE,TOT,USD,A,2019,29280.78997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,AVWAGE,TOT,USD,A,2015,55942.62512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,AVWAGE,TOT,USD,A,2016,56883.11049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
